name,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
156,587742865287938081,183.71738507,18.16638854,5381,40,5,194,STAR,19.172668,18.916393,18.662952,18.481892,18.457989
157,587735043608150256,120.50518309,23.39053215,3560,40,4,80,STAR,20.512665,20.144777,19.871401,19.698177,19.739779
158,587730817362231456,337.85218828,-8.78033269,2576,40,4,109,STAR,18.962709,18.851404,18.712284,18.604273,18.472712
159,587736898498986108,237.82978979,30.67217625,3992,40,3,108,STAR,19.307041,18.612566,18.486202,18.467083,18.230013
160,587739647274647688,148.68543592,27.12874708,4632,40,3,56,STAR,21.390972,19.75478,19.376509,19.2316,19.20105
161,587739827124895832,207.30822512,24.97853106,4674,40,2,33,STAR,19.519341,19.432642,18.984724,18.9361,18.965914
162,587739458300280846,224.33864892,26.18867166,4588,40,3,120,GALAXY,18.634661,18.372446,17.892794,17.54211,17.350164
163,588017604144922726,176.91729991,44.2474013,3813,41,2,188,STAR,19.268312,19.098003,19.063957,18.830574,18.835932
164,587729155207921854,178.28678265,65.18150081,2189,40,4,79,STAR,20.383709,20.226366,19.926233,19.836035,19.890038
165,587725590386114714,264.33812519,55.05603199,1359,40,4,95,GALAXY,18.787731,18.574226,18.109804,17.899374,17.4743
166,588017725467263036,168.98432962,7.27010184,3841,41,4,28,STAR,18.423731,18.124964,18.166073,18.085674,17.766432
167,587741710495318061,179.47650498,28.55985507,5112,40,6,449,STAR,18.978758,18.869699,18.86174,18.841614,18.279734
168,587727178456170606,15.51820972,-10.63497116,1729,40,2,185,STAR,19.080187,18.836493,18.412676,18.374557,17.725506
169,587739507161169974,203.73424615,32.27985761,4599,40,6,206,STAR,17.424576,17.214281,17.17728,17.206797,16.823093
170,587729387136811168,128.22486218,43.78681772,2243,40,4,89,STAR,19.643969,19.41074,19.223801,18.972965,18.850344
171,587726014003085323,197.99163072,1.58820877,1458,40,1,489,STAR,18.252567,18.186411,18.036268,18.103174,18.319248
172,587729386611933255,166.34640689,58.20912024,2243,40,3,272,STAR,19.172634,19.116247,19.059875,19.146854,19.024542
173,588017605776441444,237.26012287,32.30055816,3813,41,5,507,STAR,19.193218,18.692789,18.641682,18.681734,18.664652
174,587726015085674629,218.21177928,1.98425504,1458,40,3,624,STAR,21.206659,20.499859,20.258492,19.953451,19.555544
175,587726033307435078,146.04561377,2.43145402,1462,40,5,138,STAR,18.737171,18.572052,18.461895,18.199627,18.133198
176,587742610276155654,242.76865587,9.04712395,5322,40,2,223,STAR,19.634506,19.441868,19.201162,19.143467,19.1187
177,587741390499414051,145.80899323,25.52291737,5038,40,2,131,STAR,19.100094,18.662233,18.439091,18.513775,18.45838
178,587742772944896060,172.57475405,16.00483834,5360,40,1,175,STAR,18.849308,18.744764,18.495512,18.43856,18.437777
179,587732703395577872,143.66814601,6.31822336,3015,40,5,198,STAR,18.829147,18.551699,18.381947,18.128962,18.16391
180,587742062171258949,243.29794839,12.88215899,5194,40,5,838,STAR,19.18615,19.012373,18.710667,18.731531,18.84915
181,587736941991035171,237.65760665,27.2695933,4002,40,4,192,STAR,20.894798,19.067417,18.753429,18.753889,18.739347
182,588023046403588283,137.50490431,19.03151262,5080,41,3,161,STAR,19.86702,19.506163,19.397129,19.024647,18.771618
183,587735430690504722,195.99124928,50.11064528,3650,40,5,56,STAR,18.347229,18.122471,18.036987,18.027563,17.743717
184,587734690349252881,133.43186646,5.65984646,3478,40,2,113,STAR,20.855335,20.270607,19.387716,19.083376,18.810593
185,587731889501241439,167.40713405,55.30554992,2826,40,1,228,STAR,19.290779,19.074883,18.911928,18.890343,18.735693
186,588017979962294422,171.41161053,40.08065646,3900,41,6,306,STAR,19.31542,19.24983,18.959761,18.916656,19.074343
187,587732153629212748,115.65190745,23.5227382,2887,40,5,37,STAR,19.176994,18.6859,18.547146,18.618141,18.449299
188,587726101491220625,231.35119385,3.59632217,1478,40,4,156,STAR,19.730154,19.512096,19.255711,19.203995,19.005753
189,587736899577905260,249.12052758,24.31260166,3992,40,5,187,STAR,19.433361,18.890051,18.809029,18.793655,18.682657
190,587731187281559681,8.95218336,0.82014884,2662,40,5,342,STAR,20.692459,20.439396,20.429501,20.231308,20.37743
191,587732771052585039,175.73263232,9.59516213,3031,40,3,370,STAR,19.065258,19.175344,19.149942,18.972467,18.812809
192,587739706881933462,236.35186428,19.17298563,4646,40,2,279,STAR,19.627075,19.331202,19.120131,18.900873,18.855659
193,588023720711356451,227.58255363,18.67020289,5237,41,3,129,STAR,18.854088,18.174559,18.08197,17.977259,17.730824
194,588011098336788551,172.44049367,62.34276127,2298,41,4,90,STAR,20.047794,19.735674,19.629904,19.446594,19.546494
195,587741602570895517,189.92687723,27.92706839,5087,40,5,245,STAR,21.585085,19.269361,19.009121,18.931971,19.001469
196,587732469848342752,124.69157193,29.64009408,2961,40,2,70,STAR,20.225437,19.678064,19.292856,18.885843,18.857931
197,588023721784115244,225.59406503,20.12063711,5237,41,5,114,STAR,19.531891,19.100853,19.054518,18.998568,18.972408
198,587739096457609358,198.94830861,35.72168365,4504,40,1,247,STAR,19.967094,19.323606,19.09013,18.921473,18.763439
199,587738196655144993,125.91037086,59.4468264,4294,40,5,143,STAR,18.218683,17.692205,17.414299,17.23155,17.069998
200,588018055116423316,224.59804473,44.39580804,3918,41,2,187,STAR,20.41404,20.272655,20.241362,20.098553,20.173365
201,587733603183690455,219.98394363,53.64899306,3225,40,1,83,GALAXY,22.734732,21.732021,20.358187,19.473421,18.968557
